doc_id,filename,doc_type,stage,date,from_entity,to_entity,confidentiality,tags,ground_truth_risks
MA-0022,MA-0022_CIMExcerpt_20250920.json,CIMExcerpt,Outreach,2025-09-20 18:45,Riverbend,Northstar,Internal,open-source-license|ops|outreach,open_source_license
MA-0023,MA-0023_Teaser_20250915.json,Teaser,Marketing,2025-09-15 13:45,Riverbend,Northstar,Confidential,earnout|marketing|ops,
MA-0024,MA-0024_EmailThread_20250421.json,EmailThread,Outreach,2025-04-21 08:15,Northstar,Riverbend,Internal,data-room|open-source-license|ops|outreach,open_source_license
MA-0025,MA-0025_DiligenceResponse_20250902.json,DiligenceResponse,NDA,2025-09-02 18:00,Riverbend,Northstar,Internal,nda|pricing|supply-chain|tech,supply_chain
MA-0026,MA-0026_CybersecurityAssessment_20251012.json,CybersecurityAssessment,Diligence,2025-10-12 13:00,Advisor,Riverbend,Highly Confidential,diligence|escrow|export-controls|ops,export_controls
MA-0027,MA-0027_MeetingMinutes_20250802.json,MeetingMinutes,LOI,2025-08-02 15:45,Advisor,Riverbend,Confidential,cyber-incident|loi|ops|pricing,cyber_incident
MA-0028,MA-0028_MeetingMinutes_20250902.json,MeetingMinutes,Indication,2025-09-02 08:15,Advisor,Northstar,Confidential,finance|indication,
MA-0029,MA-0029_IOI_20251106.json,IOI,LOI,2025-11-06 12:00,Northstar,Riverbend,Confidential,earnout|loi|ops|privacy-compliance,privacy_compliance
MA-0030,MA-0030_EmailThread_20251127.json,EmailThread,LOI,2025-11-27 12:00,Riverbend,Northstar,Internal,loi|tech,
MA-0031,MA-0031_DiligenceResponse_20250826.json,DiligenceResponse,DefinitiveAgreement,2025-08-26 15:00,Riverbend,Northstar,Confidential,commercial|definitiveagreement|revenue-recognition,revenue_recognition
MA-0032,MA-0032_DiligenceResponse_20250517.json,DiligenceResponse,Diligence,2025-05-17 15:30,Riverbend,Northstar,Confidential,diligence|ip-ownership|tech,ip_ownership
MA-0033,MA-0033_DiligenceResponse_20250714.json,DiligenceResponse,DefinitiveAgreement,2025-07-14 12:15,Northstar,Riverbend,Confidential,cyber|definitiveagreement|earnout,
MA-0034,MA-0034_IntegrationStatusUpdate_20250614.json,IntegrationStatusUpdate,Marketing,2025-06-14 14:15,Northstar,Northstar,Internal,integration|marketing|ops|revenue-recognition,revenue_recognition
MA-0035,MA-0035_NDA_20251011.json,NDA,Diligence,2025-10-11 15:30,Advisor,Riverbend,Confidential,commercial|data-room|diligence|revenue-recognition,revenue_recognition
MA-0036,MA-0036_IntegrationStatusUpdate_20250617.json,IntegrationStatusUpdate,DefinitiveAgreement,2025-06-17 15:00,Northstar,Northstar,Internal,definitiveagreement|earnout|hr,
MA-0037,MA-0037_IOI_20250921.json,IOI,Integration,2025-09-21 17:45,Riverbend,Northstar,Confidential,escrow|integration|key-person-dependency|ops,key_person_dependency
MA-0038,MA-0038_DiligenceResponse_20250826.json,DiligenceResponse,Marketing,2025-08-26 11:00,Northstar,Riverbend,Confidential,finance|marketing,
MA-0039,MA-0039_LOI_20250728.json,LOI,Diligence,2025-07-28 15:30,Northstar,Riverbend,Highly Confidential,diligence|export-controls|tech,export_controls
MA-0040,MA-0040_MeetingMinutes_20250807.json,MeetingMinutes,Integration,2025-08-07 15:30,Advisor,Riverbend,Internal,cyber|data-room|integration,
MA-0041,MA-0041_DiligenceRequest_20250624.json,DiligenceRequest,Closing,2025-06-24 12:45,Riverbend,Northstar,Confidential,closing|commercial,
MA-0042,MA-0042_Teaser_20251008.json,Teaser,Diligence,2025-10-08 09:15,Northstar,Riverbend,Confidential,diligence|finance|integration|key-person-dependency,key_person_dependency
MA-0043,MA-0043_EmailThread_20250420.json,EmailThread,Outreach,2025-04-20 12:45,Riverbend,Northstar,Internal,data-room|finance|key-person-dependency|outreach,key_person_dependency
MA-0044,MA-0044_IntegrationStatusUpdate_20250517.json,IntegrationStatusUpdate,DefinitiveAgreement,2025-05-17 18:15,Northstar,Northstar,Internal,definitiveagreement|finance|working-capital,
MA-0045,MA-0045_MeetingMinutes_20250606.json,MeetingMinutes,Integration,2025-06-06 16:30,Northstar,Riverbend,Internal,customer-concentration|escrow|finance|integration,customer_concentration
MA-0046,MA-0046_EmailThread_20250615.json,EmailThread,Outreach,2025-06-15 09:15,Riverbend,Northstar,Confidential,hr|key-person-dependency|outreach,key_person_dependency
MA-0047,MA-0047_Teaser_20251129.json,Teaser,NDA,2025-11-29 09:00,Riverbend,Northstar,Internal,finance|nda|supply-chain,supply_chain
MA-0048,MA-0048_BoardUpdate_20250826.json,BoardUpdate,Diligence,2025-08-26 17:30,Northstar,Northstar,Confidential,data-room|diligence|finance|privacy-compliance,privacy_compliance
MA-0049,MA-0049_CustomerConcentrationAnalysis_20250821.json,CustomerConcentrationAnalysis,Indication,2025-08-21 17:15,Advisor,Riverbend,Confidential,indication|ops|quality-yield,customer_concentration|quality_yield
MA-0050,MA-0050_LegalRedlineMemo_20250921.json,LegalRedlineMemo,Indication,2025-09-21 13:00,Advisor,Northstar,Confidential,indication|ops|pricing|revenue-recognition,privacy_compliance|revenue_recognition
MA-0051,MA-0051_NDA_20250914.json,NDA,LOI,2025-09-14 17:00,Advisor,Riverbend,Confidential,earnout|legal|loi|quality-yield,quality_yield
MA-0052,MA-0052_MeetingMinutes_20250529.json,MeetingMinutes,DefinitiveAgreement,2025-05-29 13:45,Northstar,Riverbend,Internal,definitiveagreement|pricing|quality-yield|tech,quality_yield
MA-0053,MA-0053_EmailThread_20250908.json,EmailThread,Closing,2025-09-08 17:45,Northstar,Riverbend,Confidential,closing|commercial|cyber-incident|earnout,
MA-0054,MA-0054_EmailThread_20250510.json,EmailThread,DefinitiveAgreement,2025-05-10 16:00,Northstar,Riverbend,Internal,definitiveagreement|open-source-license|ops|working-capital,open_source_license
MA-0055,MA-0055_DiligenceResponse_20250508.json,DiligenceResponse,Indication,2025-05-08 12:45,Riverbend,Northstar,Confidential,cyber-incident|earnout|finance|indication,cyber_incident
MA-0056,MA-0056_DiligenceRequest_20251004.json,DiligenceRequest,Diligence,2025-10-04 13:30,Northstar,Riverbend,Confidential,cyber|diligence,
MA-0057,MA-0057_FinancialModelNote_20250514.json,FinancialModelNote,NDA,2025-05-14 12:45,Northstar,Northstar,Confidential,key-person-dependency|nda|ops|pricing,key_person_dependency
MA-0058,MA-0058_EmailThread_20250619.json,EmailThread,Integration,2025-06-19 09:30,Northstar,Riverbend,Internal,hr|integration,
MA-0059,MA-0059_DiligenceResponse_20251116.json,DiligenceResponse,DefinitiveAgreement,2025-11-16 11:15,Northstar,Riverbend,Confidential,definitiveagreement|ops,
MA-0060,MA-0060_MeetingMinutes_20250818.json,MeetingMinutes,DefinitiveAgreement,2025-08-18 15:15,Riverbend,Northstar,Confidential,data-room|definitiveagreement|finance,
MA-0061,MA-0061_MeetingMinutes_20251103.json,MeetingMinutes,DefinitiveAgreement,2025-11-03 09:30,Northstar,Riverbend,Internal,definitiveagreement|integration|privacy-compliance|tech,privacy_compliance
MA-0062,MA-0062_NDA_20250524.json,NDA,Diligence,2025-05-24 17:30,Advisor,Riverbend,Confidential,diligence|finance|supply-chain,supply_chain
MA-0063,MA-0063_ProductRoadmap_20251121.json,ProductRoadmap,Outreach,2025-11-21 08:30,Riverbend,Riverbend,Internal,finance|outreach,
MA-0064,MA-0064_Teaser_20251129.json,Teaser,DefinitiveAgreement,2025-11-29 12:00,Northstar,Riverbend,Internal,customer-concentration|definitiveagreement|tech,customer_concentration
MA-0065,MA-0065_NDA_20251211.json,NDA,Marketing,2025-12-11 13:30,Advisor,Riverbend,Confidential,commercial|marketing|revenue-recognition,
MA-0066,MA-0066_FinancialModelNote_20251105.json,FinancialModelNote,Indication,2025-11-05 10:45,Northstar,Northstar,Confidential,cyber|indication|supply-chain,supply_chain
MA-0067,MA-0067_IntegrationStatusUpdate_20251111.json,IntegrationStatusUpdate,NDA,2025-11-11 08:15,Northstar,Northstar,Internal,data-room|legal|nda,
MA-0068,MA-0068_DiligenceRequest_20250821.json,DiligenceRequest,LOI,2025-08-21 11:00,Riverbend,Riverbend,Internal,commercial|integration|key-person-dependency|loi,key_person_dependency
MA-0069,MA-0069_PressReleaseDraft_20250629.json,PressReleaseDraft,DefinitiveAgreement,2025-06-29 13:15,Northstar,Riverbend,Internal,data-room|definitiveagreement|legal,
MA-0070,MA-0070_DiligenceResponse_20250906.json,DiligenceResponse,Outreach,2025-09-06 14:45,Riverbend,Northstar,Confidential,escrow|ops|outreach|quality-yield,quality_yield
MA-0071,MA-0071_CustomerConcentrationAnalysis_20250819.json,CustomerConcentrationAnalysis,Marketing,2025-08-19 10:30,Advisor,Riverbend,Internal,hr|marketing|quality-yield,customer_concentration|quality_yield
MA-0072,MA-0072_EmailThread_20250814.json,EmailThread,Integration,2025-08-14 18:15,Riverbend,Northstar,Confidential,export-controls|hr|integration,export_controls
MA-0073,MA-0073_EmailThread_20250525.json,EmailThread,LOI,2025-05-25 13:15,Riverbend,Northstar,Confidential,earnout|finance|loi|privacy-compliance,privacy_compliance
MA-0074,MA-0074_LOI_20250720.json,LOI,Integration,2025-07-20 17:30,Riverbend,Northstar,Confidential,finance|integration|quality-yield,quality_yield
MA-0075,MA-0075_EmailThread_20251005.json,EmailThread,Marketing,2025-10-05 14:30,Riverbend,Northstar,Internal,cyber|integration|key-person-dependency|marketing,key_person_dependency
MA-0076,MA-0076_LOI_20250610.json,LOI,Outreach,2025-06-10 13:45,Riverbend,Northstar,Highly Confidential,integration|key-person-dependency|legal|outreach,key_person_dependency
MA-0077,MA-0077_LOI_20251207.json,LOI,Diligence,2025-12-07 17:30,Riverbend,Northstar,Highly Confidential,diligence|ops|supply-chain,
MA-0078,MA-0078_MeetingMinutes_20250726.json,MeetingMinutes,Diligence,2025-07-26 08:45,Advisor,Northstar,Internal,diligence|hr|quality-yield,quality_yield
MA-0079,MA-0079_IntegrationStatusUpdate_20250826.json,IntegrationStatusUpdate,Integration,2025-08-26 11:45,Northstar,Northstar,Confidential,cyber|cyber-incident|integration,cyber_incident
MA-0080,MA-0080_CybersecurityAssessment_20250817.json,CybersecurityAssessment,Marketing,2025-08-17 16:30,Advisor,Northstar,Confidential,earnout|finance|marketing|quality-yield,cyber_incident|quality_yield
MA-0081,MA-0081_EmailThread_20250403.json,EmailThread,DefinitiveAgreement,2025-04-03 16:15,Riverbend,Northstar,Confidential,commercial|definitiveagreement,
MA-0082,MA-0082_EmailThread_20251210.json,EmailThread,DefinitiveAgreement,2025-12-10 10:30,Riverbend,Northstar,Internal,definitiveagreement|escrow|finance|quality-yield,quality_yield
MA-0083,MA-0083_ProductRoadmap_20250515.json,ProductRoadmap,Diligence,2025-05-15 14:00,Riverbend,Riverbend,Internal,data-room|diligence|legal|privacy-compliance,privacy_compliance
MA-0084,MA-0084_DiligenceResponse_20250812.json,DiligenceResponse,Diligence,2025-08-12 18:30,Riverbend,Northstar,Internal,data-room|diligence|export-controls|finance,export_controls
MA-0085,MA-0085_CybersecurityAssessment_20250721.json,CybersecurityAssessment,DefinitiveAgreement,2025-07-21 11:00,Advisor,Northstar,Highly Confidential,definitiveagreement|hr|integration,cyber_incident
MA-0086,MA-0086_CustomerConcentrationAnalysis_20250715.json,CustomerConcentrationAnalysis,LOI,2025-07-15 17:45,Advisor,Northstar,Internal,customer-concentration|hr|integration|loi,customer_concentration
MA-0087,MA-0087_LegalRedlineMemo_20250402.json,LegalRedlineMemo,LOI,2025-04-02 11:00,Riverbend,Northstar,Confidential,cyber|ip-ownership|loi,ip_ownership
MA-0088,MA-0088_CybersecurityAssessment_20251102.json,CybersecurityAssessment,DefinitiveAgreement,2025-11-02 13:45,Advisor,Northstar,Highly Confidential,definitiveagreement|earnout|ops,cyber_incident
MA-0089,MA-0089_IntegrationStatusUpdate_20250605.json,IntegrationStatusUpdate,LOI,2025-06-05 11:00,Northstar,Northstar,Internal,data-room|key-person-dependency|loi|tech,
MA-0090,MA-0090_MeetingMinutes_20250418.json,MeetingMinutes,Outreach,2025-04-18 15:00,Northstar,Northstar,Internal,commercial|export-controls|outreach|working-capital,export_controls
MA-0091,MA-0091_EmailThread_20250802.json,EmailThread,Diligence,2025-08-02 11:30,Northstar,Riverbend,Internal,customer-concentration|diligence|ops,
MA-0092,MA-0092_DiligenceRequest_20250918.json,DiligenceRequest,Diligence,2025-09-18 12:00,Northstar,Northstar,Internal,data-room|diligence|legal,
MA-0093,MA-0093_EmailThread_20251031.json,EmailThread,Marketing,2025-10-31 12:15,Riverbend,Northstar,Internal,marketing|quality-yield|tech,quality_yield
MA-0094,MA-0094_EmailThread_20250509.json,EmailThread,Outreach,2025-05-09 18:00,Riverbend,Northstar,Internal,cyber|outreach|privacy-compliance|working-capital,privacy_compliance
MA-0095,MA-0095_ProductRoadmap_20250525.json,ProductRoadmap,Closing,2025-05-25 09:15,Riverbend,Northstar,Internal,closing|cyber-incident|legal,cyber_incident
MA-0096,MA-0096_IntegrationStatusUpdate_20250803.json,IntegrationStatusUpdate,LOI,2025-08-03 11:30,Northstar,Northstar,Internal,commercial|loi,
MA-0097,MA-0097_EmailThread_20250917.json,EmailThread,DefinitiveAgreement,2025-09-17 17:00,Riverbend,Northstar,Internal,definitiveagreement|earnout|legal|quality-yield,
MA-0098,MA-0098_Teaser_20250511.json,Teaser,Diligence,2025-05-11 16:30,Riverbend,Northstar,Internal,diligence|finance|integration|ip-ownership,
MA-0099,MA-0099_LOI_20251010.json,LOI,Indication,2025-10-10 14:15,Northstar,Riverbend,Highly Confidential,finance|indication|working-capital,
MA-0100,MA-0100_LegalRedlineMemo_20251017.json,LegalRedlineMemo,Diligence,2025-10-17 13:30,Riverbend,Riverbend,Confidential,cyber-incident|diligence|escrow|finance,cyber_incident|open_source_license
MA-0101,MA-0101_NDA_20250914.json,NDA,Outreach,2025-09-14 14:00,Northstar,Northstar,Highly Confidential,cyber|ip-ownership|outreach,ip_ownership
MA-0102,MA-0102_MeetingMinutes_20250614.json,MeetingMinutes,Marketing,2025-06-14 09:15,Northstar,Riverbend,Confidential,export-controls|marketing|tech,export_controls
MA-0103,MA-0103_FinancialModelNote_20251123.json,FinancialModelNote,Diligence,2025-11-23 11:45,Northstar,Northstar,Confidential,diligence|ops|revenue-recognition,revenue_recognition
MA-0104,MA-0104_IntegrationStatusUpdate_20251023.json,IntegrationStatusUpdate,Diligence,2025-10-23 16:45,Northstar,Northstar,Internal,diligence|ops,
MA-0105,MA-0105_IntegrationStatusUpdate_20251107.json,IntegrationStatusUpdate,Indication,2025-11-07 09:00,Northstar,Northstar,Internal,indication|key-person-dependency|tech,key_person_dependency
MA-0106,MA-0106_EmailThread_20250514.json,EmailThread,LOI,2025-05-14 09:15,Northstar,Riverbend,Confidential,loi|privacy-compliance|tech,privacy_compliance
MA-0107,MA-0107_DiligenceRequest_20251105.json,DiligenceRequest,Indication,2025-11-05 15:15,Northstar,Riverbend,Confidential,commercial|indication|pricing|revenue-recognition,revenue_recognition
MA-0108,MA-0108_DiligenceResponse_20251121.json,DiligenceResponse,Indication,2025-11-21 17:15,Northstar,Riverbend,Confidential,hr|indication|open-source-license|working-capital,open_source_license
MA-0109,MA-0109_DiligenceResponse_20250405.json,DiligenceResponse,DefinitiveAgreement,2025-04-05 15:15,Riverbend,Northstar,Internal,definitiveagreement|key-person-dependency|ops,key_person_dependency
MA-0110,MA-0110_DiligenceRequest_20251112.json,DiligenceRequest,DefinitiveAgreement,2025-11-12 16:15,Northstar,Riverbend,Confidential,definitiveagreement|finance,
MA-0111,MA-0111_EmailThread_20250715.json,EmailThread,NDA,2025-07-15 11:00,Riverbend,Northstar,Confidential,hr|key-person-dependency|nda|pricing,key_person_dependency
MA-0112,MA-0112_FinancialModelNote_20250816.json,FinancialModelNote,Diligence,2025-08-16 18:45,Northstar,Northstar,Confidential,cyber|diligence|ip-ownership|pricing,ip_ownership
MA-0113,MA-0113_DiligenceResponse_20250503.json,DiligenceResponse,Diligence,2025-05-03 16:45,Riverbend,Northstar,Internal,cyber|diligence|escrow,
MA-0114,MA-0114_EmailThread_20250819.json,EmailThread,Integration,2025-08-19 09:30,Northstar,Riverbend,Confidential,finance|integration|open-source-license|pricing,open_source_license
MA-0115,MA-0115_CIMExcerpt_20250507.json,CIMExcerpt,NDA,2025-05-07 11:45,Riverbend,Northstar,Internal,commercial|escrow|nda,
MA-0116,MA-0116_NDA_20250617.json,NDA,Marketing,2025-06-17 14:45,Advisor,Riverbend,Confidential,earnout|finance|marketing,
MA-0117,MA-0117_EmailThread_20250514.json,EmailThread,Indication,2025-05-14 11:30,Northstar,Riverbend,Internal,indication|ops,
MA-0118,MA-0118_EmailThread_20251102.json,EmailThread,DefinitiveAgreement,2025-11-02 13:15,Northstar,Riverbend,Confidential,definitiveagreement|escrow|ops|quality-yield,quality_yield
MA-0119,MA-0119_Teaser_20250504.json,Teaser,Diligence,2025-05-04 12:45,Riverbend,Northstar,Internal,diligence|finance|integration|revenue-recognition,revenue_recognition
MA-0120,MA-0120_EmailThread_20250406.json,EmailThread,NDA,2025-04-06 10:45,Riverbend,Northstar,Confidential,cyber-incident|hr|nda|working-capital,cyber_incident
MA-0121,MA-0121_PressReleaseDraft_20250530.json,PressReleaseDraft,Diligence,2025-05-30 11:00,Riverbend,Riverbend,Internal,data-room|diligence|ops,
MA-0122,MA-0122_ProductRoadmap_20251101.json,ProductRoadmap,Diligence,2025-11-01 11:30,Advisor,Riverbend,Internal,cyber|diligence|earnout,
MA-0123,MA-0123_LOI_20250701.json,LOI,Closing,2025-07-01 11:00,Riverbend,Northstar,Highly Confidential,closing|finance,
MA-0124,MA-0124_EmailThread_20250903.json,EmailThread,Marketing,2025-09-03 17:15,Northstar,Riverbend,Confidential,export-controls|marketing|tech,export_controls
MA-0125,MA-0125_IntegrationStatusUpdate_20250822.json,IntegrationStatusUpdate,NDA,2025-08-22 09:00,Northstar,Northstar,Internal,nda|ops|pricing|supply-chain,supply_chain
MA-0126,MA-0126_MeetingMinutes_20251019.json,MeetingMinutes,DefinitiveAgreement,2025-10-19 13:30,Northstar,Northstar,Confidential,definitiveagreement|integration|privacy-compliance|tech,privacy_compliance
MA-0127,MA-0127_MeetingMinutes_20250416.json,MeetingMinutes,Integration,2025-04-16 14:45,Northstar,Northstar,Internal,earnout|finance|integration|open-source-license,
MA-0128,MA-0128_MeetingMinutes_20250616.json,MeetingMinutes,LOI,2025-06-16 08:15,Northstar,Riverbend,Confidential,cyber|earnout|key-person-dependency|loi,key_person_dependency
MA-0129,MA-0129_NDA_20250628.json,NDA,DefinitiveAgreement,2025-06-28 10:15,Northstar,Riverbend,Highly Confidential,definitiveagreement|integration|ops,
MA-0130,MA-0130_IntegrationStatusUpdate_20251209.json,IntegrationStatusUpdate,DefinitiveAgreement,2025-12-09 16:30,Northstar,Northstar,Internal,customer-concentration|cyber|definitiveagreement|working-capital,customer_concentration
MA-0131,MA-0131_EmailThread_20250612.json,EmailThread,Diligence,2025-06-12 09:30,Northstar,Riverbend,Internal,diligence|tech,
MA-0132,MA-0132_EmailThread_20251018.json,EmailThread,Diligence,2025-10-18 17:00,Riverbend,Northstar,Internal,diligence|hr|integration|quality-yield,quality_yield
MA-0133,MA-0133_EmailThread_20251101.json,EmailThread,LOI,2025-11-01 10:45,Northstar,Riverbend,Confidential,cyber|data-room|loi|revenue-recognition,revenue_recognition
MA-0134,MA-0134_CIMExcerpt_20251109.json,CIMExcerpt,Diligence,2025-11-09 10:00,Riverbend,Northstar,Internal,diligence|integration|privacy-compliance|tech,privacy_compliance
MA-0135,MA-0135_EmailThread_20250515.json,EmailThread,Outreach,2025-05-15 12:45,Riverbend,Northstar,Internal,finance|open-source-license|outreach,
MA-0136,MA-0136_EmailThread_20250520.json,EmailThread,Diligence,2025-05-20 09:30,Riverbend,Northstar,Confidential,data-room|diligence|key-person-dependency|ops,
MA-0137,MA-0137_EmailThread_20250628.json,EmailThread,DefinitiveAgreement,2025-06-28 10:15,Northstar,Riverbend,Internal,definitiveagreement|ip-ownership|legal,ip_ownership
MA-0138,MA-0138_EmailThread_20251101.json,EmailThread,Diligence,2025-11-01 09:45,Northstar,Riverbend,Internal,diligence|legal|quality-yield,
MA-0139,MA-0139_FinancialModelNote_20251130.json,FinancialModelNote,Outreach,2025-11-30 12:30,Northstar,Northstar,Internal,escrow|outreach|tech,
MA-0140,MA-0140_MeetingMinutes_20250516.json,MeetingMinutes,LOI,2025-05-16 11:45,Northstar,Northstar,Internal,export-controls|loi|ops,
MA-0141,MA-0141_NDA_20250811.json,NDA,DefinitiveAgreement,2025-08-11 09:30,Northstar,Northstar,Confidential,cyber|definitiveagreement|quality-yield,quality_yield
MA-0142,MA-0142_CIMExcerpt_20250405.json,CIMExcerpt,Outreach,2025-04-05 15:15,Riverbend,Northstar,Internal,hr|integration|outreach,
MA-0143,MA-0143_FinancialModelNote_20251021.json,FinancialModelNote,DefinitiveAgreement,2025-10-21 17:00,Northstar,Northstar,Internal,definitiveagreement|hr,
MA-0144,MA-0144_EmailThread_20250914.json,EmailThread,Integration,2025-09-14 12:30,Riverbend,Northstar,Confidential,integration|legal|privacy-compliance,
MA-0145,MA-0145_LOI_20251001.json,LOI,Integration,2025-10-01 16:30,Riverbend,Northstar,Confidential,earnout|integration|key-person-dependency|ops,key_person_dependency
MA-0146,MA-0146_FinancialModelNote_20250724.json,FinancialModelNote,Marketing,2025-07-24 12:45,Northstar,Northstar,Confidential,cyber-incident|earnout|marketing|tech,cyber_incident
MA-0147,MA-0147_BoardUpdate_20250831.json,BoardUpdate,LOI,2025-08-31 14:00,Northstar,Northstar,Internal,integration|legal|loi,
MA-0148,MA-0148_MeetingMinutes_20250512.json,MeetingMinutes,Diligence,2025-05-12 15:30,Northstar,Northstar,Internal,customer-concentration|diligence|tech|working-capital,customer_concentration
MA-0149,MA-0149_ProductRoadmap_20250827.json,ProductRoadmap,Indication,2025-08-27 15:30,Riverbend,Northstar,Confidential,commercial|data-room|indication,
MA-0150,MA-0150_IntegrationStatusUpdate_20251024.json,IntegrationStatusUpdate,Closing,2025-10-24 08:15,Northstar,Northstar,Internal,closing|commercial|earnout,
MA-0151,MA-0151_DiligenceResponse_20250526.json,DiligenceResponse,Outreach,2025-05-26 18:00,Northstar,Riverbend,Internal,commercial|export-controls|integration|outreach,export_controls
MA-0152,MA-0152_EmailThread_20250813.json,EmailThread,Marketing,2025-08-13 16:15,Riverbend,Northstar,Confidential,commercial|data-room|marketing|open-source-license,
MA-0153,MA-0153_CustomerConcentrationAnalysis_20250908.json,CustomerConcentrationAnalysis,Indication,2025-09-08 14:00,Northstar,Riverbend,Internal,indication|ops|working-capital,customer_concentration
MA-0154,MA-0154_BoardUpdate_20250923.json,BoardUpdate,Outreach,2025-09-23 10:00,Northstar,Northstar,Confidential,cyber|data-room|outreach,
MA-0155,MA-0155_ProductRoadmap_20250625.json,ProductRoadmap,Diligence,2025-06-25 09:15,Advisor,Riverbend,Internal,diligence|ops|revenue-recognition,revenue_recognition
MA-0156,MA-0156_DiligenceResponse_20250415.json,DiligenceResponse,DefinitiveAgreement,2025-04-15 18:15,Riverbend,Northstar,Confidential,cyber|definitiveagreement|earnout|revenue-recognition,revenue_recognition
MA-0157,MA-0157_CustomerConcentrationAnalysis_20250428.json,CustomerConcentrationAnalysis,Diligence,2025-04-28 08:15,Riverbend,Northstar,Confidential,data-room|diligence|open-source-license|ops,customer_concentration|open_source_license
MA-0158,MA-0158_CIMExcerpt_20251122.json,CIMExcerpt,Marketing,2025-11-22 15:45,Northstar,Riverbend,Internal,data-room|marketing|ops|supply-chain,supply_chain
MA-0159,MA-0159_DiligenceRequest_20251120.json,DiligenceRequest,Diligence,2025-11-20 13:30,Advisor,Riverbend,Internal,diligence|export-controls|integration|ops,export_controls
MA-0160,MA-0160_IOI_20250921.json,IOI,DefinitiveAgreement,2025-09-21 09:45,Riverbend,Northstar,Confidential,commercial|definitiveagreement,
